latitude,longitude,number,time,step,isobaricInhPa,valid_time,t,u,v,vo,w_mps
60.0,-40.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,213.40633,26.764633,5.914551,-4.5989174e-05,0.019835187453751204
60.0,-40.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,213.19392,26.733383,5.320801,-4.874589e-05,0.016882644663589675
60.0,-39.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,213.03181,26.764633,4.7348633,-5.0891656e-05,0.01291163532338593
60.0,-39.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,212.93513,26.821274,4.1567383,-5.2500982e-05,0.008454852021818195
60.0,-39.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,212.90437,26.860336,3.5864258,-5.3424854e-05,0.004041387086375737
60.0,-39.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,212.93123,26.854477,3.027832,-5.3529162e-05,0.00019971725070130634
60.0,-38.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,213.00203,26.791977,2.496582,-5.3022522e-05,-0.002616214602557342
60.0,-38.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,213.10359,26.666977,2.0043945,-5.2500982e-05,-0.004406854207091972
60.0,-38.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,213.22176,26.48143,1.559082,-5.233707e-05,-0.005361629810730898
60.0,-38.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,213.34431,26.243149,1.1606445,-5.2441377e-05,-0.005631518196321886
60.0,-37.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,213.46297,25.971664,0.80126953,-5.2664895e-05,-0.0052914227178903405
60.0,-37.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,213.57088,25.684555,0.48095703,-5.3082127e-05,-0.004530984542884684
60.0,-37.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,213.66463,25.397446,0.17626953,-5.3946394e-05,-0.0036931804543047005
60.0,-37.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,213.74275,25.118149,-0.12060547,-5.52875e-05,-0.0028926171695739396
60.0,-36.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,213.8072,24.858383,-0.42529297,-5.6673307e-05,-0.0022823232944192097
